_id,user,sequence
ObjectId(575d73eb1e838700114d5e65),ObjectId(575e95215509f20009842e2d),"[{""$oid"":""575c15557fac12000568745e""},{""$oid"":""575c15557fac12000568744f""},{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac120005687466""},{""$oid"":""575c15557fac12000568746c""},{""$oid"":""575c15557fac120005687457""}]"
ObjectId(575d73eb1e838700114d5e66),ObjectId(575e95215509f2000a17137c),"[{""$oid"":""575c15557fac12000568746a""},{""$oid"":""575c15557fac12000568746f""},{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac12000568745a""},{""$oid"":""575c15557fac12000568747b""},{""$oid"":""575c15557fac120005687462""}]"
ObjectId(575d73eb1e838700114d5e67),ObjectId(575e95315509f2000a17137d),"[{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac12000568747a""},{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c15557fac12000568746d""},{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15557fac120005687477""}]"
ObjectId(575d73eb1e838700114d5e68),ObjectId(575e95345509f20009842e2e),"[{""$oid"":""575c15557fac120005687479""},{""$oid"":""575c15557fac120005687463""},{""$oid"":""575c6666cb4d3f00055cca42""},{""$oid"":""575c15557fac12000568747c""},{""$oid"":""575c15557fac120005687461""},{""$oid"":""575c15557fac120005687464""}]"
ObjectId(575d73eb1e838700114d5e69),ObjectId(575e953c5509f2000a17137e),"[{""$oid"":""575c15557fac120005687450""},{""$oid"":""575c15557fac120005687475""},{""$oid"":""575c15557fac120005687468""},{""$oid"":""575c15557fac120005687476""},{""$oid"":""575c15557fac120005687474""},{""$oid"":""575c15557fac12000568745f""}]"
ObjectId(575d73eb1e838700114d5e6a),ObjectId(576266c661c1d7000a310a0e),"[{""$oid"":""575c15557fac120005687472""},{""$oid"":""575c15557fac120005687467""},{""$oid"":""575c15557fac120005687460""},{""$oid"":""575c15557fac120005687454""},{""$oid"":""575c15557fac12000568746b""},{""$oid"":""575c15557fac120005687469""}]"
ObjectId(575d73eb1e838700114d5e6b),ObjectId(5762676361c1d7000a310a0f),"[{""$oid"":""575c15557fac12000568744d""},{""$oid"":""575c15557fac120005687465""},{""$oid"":""575c15557fac120005687471""},{""$oid"":""575c15557fac120005687473""},{""$oid"":""575c15557fac120005687453""},{""$oid"":""575c15557fac120005687478""}]"
ObjectId(575d73ec1e838700114d5e6c),ObjectId(576aea8ad83494000abc2238),"[{""$oid"":""575c15557fac120005687452""},{""$oid"":""575c15557fac12000568745d""},{""$oid"":""575c6666cb4d3f00055cca43""},{""$oid"":""575c15557fac12000568745b""},{""$oid"":""575c15557fac12000568745c""},{""$oid"":""575c15557fac120005687458""}]"
ObjectId(575d73ec1e838700114d5e6d),ObjectId(576af2fb98fd9b0009c86fd0),"[{""$oid"":""575c15557fac12000568746e""},{""$oid"":""575c15557fac12000568744e""},{""$oid"":""575c15557fac12000568745e""},{""$oid"":""575c15557fac12000568744f""},{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac120005687466""}]"
ObjectId(575d73f01e838700114d5e6e),ObjectId(576af4d629ea0b000a52f476),"[{""$oid"":""575c15557fac12000568746c""},{""$oid"":""575c15557fac120005687457""},{""$oid"":""575c15557fac12000568746a""},{""$oid"":""575c15557fac12000568746f""},{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac12000568745a""}]"
ObjectId(575d73f01e838700114d5e6f),ObjectId(576af71e29ea0b00094e2c85),"[{""$oid"":""575c15557fac12000568747b""},{""$oid"":""575c15557fac120005687462""},{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac12000568747a""},{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c15557fac12000568746d""}]"
ObjectId(575d73f01e838700114d5e70),"","[{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15557fac120005687477""},{""$oid"":""575c15557fac120005687479""},{""$oid"":""575c15557fac120005687463""},{""$oid"":""575c6666cb4d3f00055cca42""},{""$oid"":""575c15557fac12000568747c""}]"
ObjectId(575d73f01e838700114d5e71),"","[{""$oid"":""575c15557fac120005687461""},{""$oid"":""575c15557fac120005687464""},{""$oid"":""575c15557fac120005687450""},{""$oid"":""575c15557fac120005687475""},{""$oid"":""575c15557fac120005687468""},{""$oid"":""575c15557fac120005687476""}]"
ObjectId(575d73f01e838700114d5e72),"","[{""$oid"":""575c15557fac120005687474""},{""$oid"":""575c15557fac12000568745f""},{""$oid"":""575c15557fac120005687472""},{""$oid"":""575c15557fac120005687467""},{""$oid"":""575c15557fac120005687460""},{""$oid"":""575c15557fac120005687454""}]"
