_id,user,sequence
ObjectId(576b0e6b2e782e0005765296),ObjectId(576bdbb7f35a5f0009048b7b),"[{""$oid"":""575c15557fac12000568745f""},{""$oid"":""575c15557fac120005687476""},{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15557fac120005687474""},{""$oid"":""575c15557fac120005687450""},{""$oid"":""575c15557fac120005687479""}]"
ObjectId(576b0e6b2e782e0005765297),ObjectId(576bdbe2f35a5f0009048b7c),"[{""$oid"":""575c6666cb4d3f00055cca42""},{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac120005687452""},{""$oid"":""575c15557fac120005687472""},{""$oid"":""575c15557fac12000568747c""},{""$oid"":""575c15557fac12000568745c""}]"
ObjectId(576b0e6b2e782e0005765298),ObjectId(576bf7f5c1b105000a1dc6ae),"[{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac12000568746d""},{""$oid"":""575c15557fac120005687471""},{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c15557fac120005687466""},{""$oid"":""575c15557fac120005687463""}]"
ObjectId(576b0e6b2e782e0005765299),"","[{""$oid"":""575c15557fac12000568745a""},{""$oid"":""575c15557fac12000568745d""},{""$oid"":""575c15557fac120005687478""},{""$oid"":""575c15557fac120005687462""},{""$oid"":""575c15557fac12000568744f""},{""$oid"":""575c15557fac12000568746e""}]"
ObjectId(576b0e6b2e782e000576529a),"","[{""$oid"":""575c15557fac12000568746f""},{""$oid"":""575c15557fac120005687473""},{""$oid"":""575c6666cb4d3f00055cca43""},{""$oid"":""575c15557fac12000568747a""},{""$oid"":""575c15557fac120005687460""},{""$oid"":""575c15557fac120005687469""}]"
ObjectId(576b0e6b2e782e000576529b),"","[{""$oid"":""575c15557fac120005687477""},{""$oid"":""575c15557fac12000568745e""},{""$oid"":""575c15557fac120005687457""},{""$oid"":""575c15557fac120005687458""},{""$oid"":""575c15557fac12000568746a""},{""$oid"":""575c15557fac12000568744d""}]"
ObjectId(576b0e6b2e782e000576529c),"","[{""$oid"":""575c15557fac12000568745b""},{""$oid"":""575c15557fac120005687464""},{""$oid"":""575c15557fac12000568746b""},{""$oid"":""575c15557fac12000568746c""},{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac120005687454""}]"
ObjectId(576b0e6b2e782e000576529d),"","[{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac12000568744d""},{""$oid"":""575c15557fac12000568745f""},{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15557fac12000568746e""},{""$oid"":""575c15557fac120005687476""}]"
ObjectId(576b0e6b2e782e000576529e),"","[{""$oid"":""575c15557fac120005687458""},{""$oid"":""575c15557fac120005687475""},{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac12000568744e""},{""$oid"":""575c15557fac120005687454""},{""$oid"":""575c15557fac120005687473""}]"
ObjectId(576b0e6b2e782e000576529f),"","[{""$oid"":""575c15557fac12000568745b""},{""$oid"":""575c15557fac120005687472""},{""$oid"":""575c15557fac12000568745a""},{""$oid"":""575c15557fac120005687465""},{""$oid"":""575c15557fac120005687479""},{""$oid"":""575c6666cb4d3f00055cca42""}]"
ObjectId(576b0e6b2e782e00057652a0),"","[{""$oid"":""575c15557fac12000568747b""},{""$oid"":""575c15557fac120005687460""},{""$oid"":""575c15557fac120005687471""},{""$oid"":""575c15557fac120005687452""},{""$oid"":""575c15557fac12000568745d""},{""$oid"":""575c15557fac12000568747c""}]"
ObjectId(576b0e6b2e782e00057652a1),"","[{""$oid"":""575c15557fac12000568746c""},{""$oid"":""575c15557fac12000568746d""},{""$oid"":""575c15557fac12000568745c""},{""$oid"":""575c15557fac120005687474""},{""$oid"":""575c15557fac120005687450""},{""$oid"":""575c15557fac120005687477""}]"
ObjectId(576b0e6b2e782e00057652a2),"","[{""$oid"":""575c15557fac120005687466""},{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac120005687462""},{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c15557fac120005687467""},{""$oid"":""575c15557fac12000568744f""}]"
ObjectId(576b0e6b2e782e00057652a3),"","[{""$oid"":""575c15557fac12000568747a""},{""$oid"":""575c15557fac12000568745e""},{""$oid"":""575c15557fac120005687469""},{""$oid"":""575c15557fac120005687461""},{""$oid"":""575c15557fac12000568746f""},{""$oid"":""575c15557fac120005687464""}]"
ObjectId(576b0e6b2e782e00057652a4),"","[{""$oid"":""575c15557fac120005687457""},{""$oid"":""575c15557fac120005687463""},{""$oid"":""575c15557fac120005687453""},{""$oid"":""575c15557fac12000568746b""},{""$oid"":""575c15557fac12000568746a""},{""$oid"":""575c15557fac120005687468""}]"
ObjectId(576b0e6c2e782e00057652a5),"","[{""$oid"":""575c6666cb4d3f00055cca43""},{""$oid"":""575c15557fac120005687478""},{""$oid"":""575c15557fac12000568744f""},{""$oid"":""575c15557fac120005687462""},{""$oid"":""575c15557fac120005687450""},{""$oid"":""575c15557fac12000568747b""}]"
ObjectId(576b0e6c2e782e00057652a6),"","[{""$oid"":""575c15557fac120005687461""},{""$oid"":""575c15557fac12000568745b""},{""$oid"":""575c15557fac120005687466""},{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c15557fac120005687465""},{""$oid"":""575c15557fac120005687473""}]"
ObjectId(576b0e6c2e782e00057652a7),"","[{""$oid"":""575c6666cb4d3f00055cca43""},{""$oid"":""575c15557fac120005687463""},{""$oid"":""575c15557fac12000568746f""},{""$oid"":""575c15557fac12000568745c""},{""$oid"":""575c6666cb4d3f00055cca42""},{""$oid"":""575c15557fac120005687460""}]"
ObjectId(576b0e6c2e782e00057652a8),"","[{""$oid"":""575c15557fac120005687471""},{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15557fac120005687453""},{""$oid"":""575c15557fac12000568747a""},{""$oid"":""575c15557fac12000568744e""},{""$oid"":""575c15557fac12000568745d""}]"
ObjectId(576b0e6c2e782e00057652a9),"","[{""$oid"":""575c15557fac120005687476""},{""$oid"":""575c15557fac120005687469""},{""$oid"":""575c15557fac120005687467""},{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac120005687452""},{""$oid"":""575c15557fac12000568746e""}]"
ObjectId(576b0e6c2e782e00057652aa),"","[{""$oid"":""575c15557fac120005687454""},{""$oid"":""575c15557fac120005687472""},{""$oid"":""575c15557fac120005687477""},{""$oid"":""575c15557fac120005687468""},{""$oid"":""575c15557fac12000568747c""},{""$oid"":""575c15557fac120005687457""}]"
ObjectId(576b0e6c2e782e00057652ab),"","[{""$oid"":""575c15557fac12000568746d""},{""$oid"":""575c15557fac120005687475""},{""$oid"":""575c15557fac12000568745f""},{""$oid"":""575c15557fac12000568746c""},{""$oid"":""575c15557fac12000568745e""},{""$oid"":""575c15557fac120005687479""}]"
ObjectId(576b0e6c2e782e00057652ac),"","[{""$oid"":""575c15557fac12000568745a""},{""$oid"":""575c15557fac12000568746b""},{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac120005687478""},{""$oid"":""575c15557fac120005687464""},{""$oid"":""575c15557fac120005687459""}]"
ObjectId(576b0e6c2e782e00057652ad),"","[{""$oid"":""575c15557fac120005687458""},{""$oid"":""575c15557fac12000568746a""},{""$oid"":""575c15557fac12000568744d""},{""$oid"":""575c15557fac120005687474""},{""$oid"":""575c15557fac12000568745b""},{""$oid"":""575c6666cb4d3f00055cca43""}]"
ObjectId(576b0e6c2e782e00057652ae),"","[{""$oid"":""575c15557fac120005687468""},{""$oid"":""575c15557fac120005687463""},{""$oid"":""575c15557fac12000568746b""},{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac120005687461""},{""$oid"":""575c15557fac12000568746f""}]"
ObjectId(576b0e6c2e782e00057652af),"","[{""$oid"":""575c15557fac12000568745f""},{""$oid"":""575c15557fac120005687475""},{""$oid"":""575c15557fac120005687452""},{""$oid"":""575c15557fac120005687471""},{""$oid"":""575c15557fac120005687474""},{""$oid"":""575c15557fac12000568745c""}]"
ObjectId(576b0e6c2e782e00057652b0),"","[{""$oid"":""575c15557fac12000568746c""},{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c15557fac120005687469""},{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac120005687477""}]"
ObjectId(576b0e6c2e782e00057652b1),"","[{""$oid"":""575c15557fac12000568744e""},{""$oid"":""575c15557fac12000568744f""},{""$oid"":""575c6666cb4d3f00055cca42""},{""$oid"":""575c15557fac120005687465""},{""$oid"":""575c15557fac12000568746a""},{""$oid"":""575c15557fac12000568745a""}]"
ObjectId(576b0e6c2e782e00057652b2),"","[{""$oid"":""575c15557fac120005687476""},{""$oid"":""575c15557fac12000568745d""},{""$oid"":""575c15557fac12000568747a""},{""$oid"":""575c15557fac120005687457""},{""$oid"":""575c15557fac12000568746e""},{""$oid"":""575c15557fac120005687453""}]"
ObjectId(576b0e6c2e782e00057652b3),"","[{""$oid"":""575c15557fac120005687454""},{""$oid"":""575c15557fac120005687450""},{""$oid"":""575c15557fac12000568744d""},{""$oid"":""575c15557fac12000568747c""},{""$oid"":""575c15557fac120005687478""},{""$oid"":""575c15557fac120005687479""}]"
ObjectId(576b0e6c2e782e00057652b4),"","[{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac120005687464""},{""$oid"":""575c15557fac120005687467""},{""$oid"":""575c15557fac12000568747b""},{""$oid"":""575c15557fac120005687460""},{""$oid"":""575c15557fac12000568746d""}]"
